City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,dingle,10.9995,122.6711,22.87,93,54,3.43,PH,1676223433
1,ancud,-41.8697,-73.8203,15.4,59,100,3.76,CL,1676223228
2,lebedinyy,58.5167,125.5167,-16.7,97,100,7.05,RU,1676223433
3,san andres,12.5847,-81.7006,29.01,70,40,7.2,CO,1676223433
4,albany,42.6001,-73.9662,7.91,44,99,0.07,US,1676223236
5,kavieng,-2.5744,150.7967,26.78,78,100,1.8,PG,1676223434
6,piacabucu,-10.4056,-36.4344,29.55,57,81,5.28,BR,1676223434
7,kapaa,22.0752,-159.319,23.18,88,75,10.8,US,1676223254
8,tuktoyaktuk,69.4541,-133.0374,-38.0,67,20,1.03,CA,1676223435
9,naze,28.3667,129.4833,19.51,86,52,7.27,JP,1676223435
10,ilo,-17.6394,-71.3375,24.55,75,84,2.9,PE,1676223436
11,ushuaia,-54.8,-68.3,10.81,54,75,6.17,AR,1676223403
12,udachnyy,66.4167,112.4,-34.58,100,87,1.64,RU,1676223436
13,hithadhoo,-0.6,73.0833,27.27,67,2,5.34,MV,1676223437
14,tautira,-17.7333,-149.15,27.13,78,43,5.3,PF,1676223437
15,kangaatsiaq,68.3065,-53.4641,-30.43,93,36,2.84,GL,1676223437
16,victoria,22.2855,114.1577,23.03,93,33,4.47,HK,1676223287
17,hovd,48.0056,91.6419,-14.91,96,100,0.29,MN,1676223438
18,songjianghe,42.1859,127.479,-12.73,97,100,0.15,CN,1676223438
19,dikson,73.5069,80.5464,-11.79,90,98,7.83,RU,1676223439
20,san patricio,28.017,-97.5169,18.28,37,51,2.59,US,1676223439
21,mar del plata,-38.0023,-57.5575,33.38,61,40,7.72,AR,1676223238
22,svetlogorsk,52.6333,29.7333,-4.38,90,86,3.52,BY,1676223440
23,cidreira,-30.1811,-50.2056,27.28,64,0,5.24,BR,1676223440
24,atuona,-9.8,-139.0333,25.93,75,5,7.34,PF,1676223440
25,kodiak,57.79,-152.4072,-4.27,46,0,9.77,US,1676223441
26,vaini,-21.2,-175.2,26.09,94,75,2.06,TO,1676223441
27,cape town,-33.9258,18.4232,22.71,78,40,8.23,ZA,1676223399
28,mataura,-46.1927,168.8643,10.87,98,84,0.83,NZ,1676223442
29,rio gallegos,-51.6226,-69.2181,14.03,30,75,10.55,AR,1676223442
30,butaritari,3.0707,172.7902,26.3,83,89,5.51,KI,1676223442
31,saint-pierre,-21.3393,55.4781,26.82,74,0,7.2,RE,1676223443
32,jamestown,42.097,-79.2353,6.96,38,0,2.57,US,1676223443
33,north bend,43.4065,-124.2243,6.03,100,40,2.17,US,1676223444
34,castro,-24.7911,-50.0119,23.35,80,58,0.87,BR,1676223444
35,vila velha,-20.3297,-40.2925,30.97,68,20,7.2,BR,1676223444
36,bluff,-46.6,168.3333,13.4,90,70,2.87,NZ,1676223445
37,kallaste,58.655,27.1592,1.63,93,100,8.31,EE,1676223445
38,aykhal,66.0,111.5,-28.19,100,78,1.1,RU,1676223446
39,te anau,-45.4167,167.7167,10.87,94,67,0.37,NZ,1676223343
40,opuwo,-18.0607,13.84,27.85,27,41,6.81,NA,1676223446
41,hilo,19.7297,-155.09,20.16,97,100,4.02,US,1676223161
42,kabare,-2.4683,28.8242,17.55,91,97,0.23,CD,1676223447
43,belaya gora,68.5333,146.4167,-32.39,98,100,0.49,RU,1676223447
44,bathsheba,13.2167,-59.5167,28.34,61,75,11.83,BB,1676223447
45,port alfred,-33.5906,26.891,22.88,93,53,2.24,ZA,1676223448
46,vinh,18.6667,105.6667,23.03,80,21,1.17,VN,1676223448
47,new norfolk,-42.7826,147.0587,11.07,61,15,0.45,AU,1676223449
48,saint-philippe,-21.3585,55.7679,26.77,83,74,4.62,RE,1676223449
49,broome,42.2506,-75.833,8.12,44,100,0.89,US,1676223449
50,nador,35.174,-2.9287,16.04,67,20,5.66,MA,1676223450
51,arraial do cabo,-22.9661,-42.0278,28.98,79,75,3.09,BR,1676223272
52,chuy,-33.6971,-53.4616,34.47,29,11,5.09,UY,1676223450
53,vicuna,-30.0319,-70.7081,30.98,44,0,4.19,CL,1676223451
54,dryden,49.7833,-92.7503,2.16,75,40,5.66,CA,1676223451
55,klamath falls,42.2249,-121.7817,3.26,71,0,3.58,US,1676223452
56,yellowknife,62.456,-114.3525,-21.36,77,75,2.57,CA,1676223391
57,barrow,71.2906,-156.7887,-27.99,76,0,7.2,US,1676223452
58,rikitea,-23.1203,-134.9692,25.5,70,63,0.99,PF,1676223453
59,buala,-8.145,159.5921,26.56,83,100,2.75,SB,1676223453
60,erdenet,49.0333,104.0833,-21.02,98,14,1.75,MN,1676223454
61,ulkan,57.243,107.3223,-18.04,98,95,2.3,RU,1676223454
62,jijiga,9.35,42.8,18.59,45,0,3.73,ET,1676223454
63,isangel,-19.55,169.2667,21.86,93,100,1.23,VU,1676223250
64,pacific grove,36.6177,-121.9166,12.58,80,0,2.24,US,1676223455
65,ribeira grande,38.5167,-28.7,15.22,58,75,9.77,PT,1676223455
66,bethel,41.3712,-73.414,8.84,43,0,1.54,US,1676223456
67,chokurdakh,70.6333,147.9167,-33.04,95,100,1.4,RU,1676223456
68,punta arenas,-53.15,-70.9167,11.06,50,75,8.75,CL,1676223456
69,college,64.8569,-147.8028,-19.03,76,75,0.0,US,1676223457
70,angoram,-4.0625,144.0661,23.29,99,100,0.74,PG,1676223457
71,schrobenhausen,48.55,11.2667,4.1,93,20,1.54,DE,1676223457
72,richards bay,-28.783,32.0377,26.03,83,75,5.8,ZA,1676223458
73,sabzevar,36.2126,57.6819,1.95,100,100,1.01,IR,1676223458
74,grand gaube,-20.0064,57.6608,26.22,67,78,2.68,MU,1676223459
75,faanui,-16.4833,-151.75,27.22,76,100,5.14,PF,1676223459
76,puerto ayora,-0.7393,-90.3518,30.98,88,48,3.58,EC,1676223459
77,puerto escondido,15.85,-97.0667,27.46,83,20,3.6,MX,1676223460
78,obihiro,42.9172,143.2044,-8.0,92,89,1.12,JP,1676223460
79,urucui,-7.2294,-44.5561,34.86,32,99,3.26,BR,1676223461
80,katsuura,35.1333,140.3,14.01,83,100,8.81,JP,1676223461
81,nyaunglebin,17.95,96.7333,19.24,61,0,2.28,MM,1676223461
82,coahuayana,18.7333,-103.6833,32.65,28,0,2.76,MX,1676223462
83,matara,5.9485,80.5353,25.01,82,86,1.88,LK,1676223462
84,necochea,-38.5473,-58.7368,33.77,33,46,4.93,AR,1676223462
85,virginia beach,36.8529,-75.978,11.68,86,100,11.32,US,1676223172
86,marawi,7.9986,124.2928,19.25,96,98,0.17,PH,1676223463
87,erdaojiang,41.7764,126.0319,-12.38,98,89,1.18,CN,1676223463
88,pingliang,35.5392,106.6861,-0.88,95,100,4.42,CN,1676223464
89,provideniya,64.3833,-173.3,-29.41,94,72,3.53,RU,1676223464
90,hirara,24.8,125.2833,22.62,81,20,5.66,JP,1676223464
91,tonj,7.2737,28.6822,32.19,21,23,2.09,SS,1676223465
92,upernavik,72.7868,-56.1549,-25.51,92,100,2.27,GL,1676223465
93,lowestoft,52.4752,1.7516,8.14,86,74,2.37,GB,1676223465
94,cabo san lucas,22.8909,-109.9124,25.9,23,40,5.14,MX,1676223466
95,tura,25.5198,90.2201,17.08,40,0,0.48,IN,1676223466
96,arman,59.7,150.1667,-17.65,95,100,2.87,RU,1676223466
97,kaitangata,-46.2817,169.8464,11.04,95,50,1.44,NZ,1676223467
98,aldan,58.6031,125.3894,-15.84,95,100,5.8,RU,1676223467
99,hermanus,-34.4187,19.2345,22.67,75,58,3.02,ZA,1676223468
100,kendari,-3.945,122.4989,24.05,94,99,1.04,ID,1676223468
